[2025-08-30T11:55:24.855+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10059_20231101 [status:201 request:0.002s]
[2025-08-30T11:55:24.857+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10060_20231010 [status:201 request:0.002s]
[2025-08-30T11:55:24.859+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10061_20230804 [status:201 request:0.002s]
[2025-08-30T11:55:24.861+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10062_20230523 [status:201 request:0.001s]
[2025-08-30T11:55:24.863+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10063_20230716 [status:201 request:0.002s]
[2025-08-30T11:55:24.867+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10064_20231013 [status:201 request:0.003s]
[2025-08-30T11:55:24.870+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10065_20230423 [status:201 request:0.003s]
[2025-08-30T11:55:24.873+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10066_20230403 [status:201 request:0.002s]
[2025-08-30T11:55:24.876+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10067_20230611 [status:201 request:0.003s]
[2025-08-30T11:55:24.879+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10068_20230901 [status:201 request:0.002s]
[2025-08-30T11:55:24.882+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10069_20230531 [status:201 request:0.002s]
[2025-08-30T11:55:24.885+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10070_20230417 [status:201 request:0.003s]
[2025-08-30T11:55:24.889+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10071_20230620 [status:201 request:0.003s]
[2025-08-30T11:55:24.892+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10072_20230304 [status:201 request:0.003s]
